image_filename,steering_angle
2025-06-14_12-33-51.png,0
2025-06-14_12-33-54.png,0
2025-06-14_12-33-57.png,-0.4
2025-06-14_12-34-00.png,0.36
2025-06-14_12-34-03.png,0.06
2025-06-14_12-34-06.png,0.04
2025-06-14_12-34-09.png,-0.12
2025-06-14_12-34-12.png,0.1
2025-06-14_12-34-15.png,0.16
2025-06-14_12-38-31.png,0
2025-06-14_12-38-34.png,0
2025-06-14_12-38-37.png,0
2025-06-14_12-38-40.png,0
2025-06-14_12-38-43.png,0
2025-06-14_12-38-46.png,0
2025-06-14_12-38-49.png,0
2025-06-14_12-38-52.png,0
2025-06-14_12-38-55.png,0
2025-06-14_12-39-01.png,0
2025-06-14_12-39-04.png,0
2025-06-14_12-39-07.png,0
2025-06-14_12-40-49.png,0
2025-06-14_12-40-52.png,-0.36
2025-06-14_12-40-55.png,0.04
2025-06-14_12-40-58.png,-0.06
2025-06-14_12-41-01.png,-0.06
2025-06-14_12-41-04.png,-0.02
2025-06-14_12-41-07.png,0.04
2025-06-14_12-41-10.png,-0.02
2025-06-14_12-46-15.png,-0.02
2025-06-14_12-46-18.png,-0.02
2025-06-14_12-46-21.png,-0.02
2025-06-14_12-46-24.png,0.12
2025-06-14_12-46-27.png,0.16
2025-06-14_12-46-30.png,-0.1
2025-06-14_12-46-33.png,0.04
2025-06-14_12-46-36.png,-0.04
2025-06-14_12-46-39.png,0.02
2025-06-14_12-47-23.png,0.02
2025-06-14_12-47-26.png,-0.14
2025-06-14_12-47-29.png,-0.02
2025-06-14_12-47-32.png,0.02
2025-06-14_12-47-35.png,-0.1
2025-06-14_12-47-38.png,0.04
2025-06-14_12-47-52.png,0.04
2025-06-14_12-47-55.png,0.04
2025-06-14_12-48-59.png,-0.02
2025-06-14_12-49-02.png,-0.02
2025-06-14_12-49-05.png,-0.02
2025-06-14_12-49-08.png,0.32
2025-06-14_12-49-11.png,0.08
2025-06-14_12-49-14.png,-0.06
2025-06-14_12-49-17.png,-0.02
2025-06-14_12-49-20.png,-0.04
2025-06-14_12-49-23.png,-0.08
2025-06-14_12-49-26.png,-0.04
2025-06-14_12-49-29.png,-0.04
2025-06-14_12-49-32.png,0.04
2025-06-14_12-49-35.png,-0.12
2025-06-14_12-49-38.png,0.06
2025-06-14_12-49-41.png,-0.04
2025-06-14_12-49-44.png,0.04
2025-06-14_12-49-47.png,0
2025-06-14_12-49-50.png,-0.06
2025-06-14_12-49-53.png,-0.04
2025-06-14_12-49-56.png,0
2025-06-14_12-49-59.png,0.04
2025-06-14_12-50-02.png,0.06
2025-06-14_12-50-05.png,-0.04
2025-06-14_12-50-08.png,0.02
2025-06-14_12-50-11.png,0.02
2025-06-14_12-50-14.png,-0.04
2025-06-14_12-50-17.png,0.02
2025-06-14_12-50-20.png,-0.02
2025-06-14_12-50-23.png,0
2025-06-14_12-50-26.png,0
2025-06-14_12-50-29.png,0
2025-06-14_12-50-32.png,0
2025-06-14_12-50-35.png,0
2025-06-14_12-50-38.png,-0.08
2025-06-14_12-50-41.png,0
2025-06-14_12-50-44.png,-0.06
2025-06-14_12-50-47.png,-0.06
2025-06-14_12-50-50.png,-0.06
2025-06-14_12-50-53.png,0.04
2025-06-14_12-50-56.png,0.02
2025-06-14_12-50-59.png,0.02
